"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","DEN","RMG","RMN"
1178.5,0,69.0274,120.0053,345.2298,2.8457,3.2342,2.3957,1.8784,2.2132
1178.625,0.008,68.9899,116.9664,352.2855,3.007,3.4629,2.3763,2.0374,2.4324
1178.75,0.017,68.9346,111.2237,330.8259,3.3928,3.8365,2.3858,2.8019,3.4932
1178.875,0.025,68.8736,105.2423,305.4861,4.234,4.3698,2.4172,2.7648,3.3387
1179,0.034,68.7968,99.4156,304.8318,4.8504,4.995,2.4427,2.7996,3.2526
1179.125,0.042,68.7406,99.3768,290.048,4.3551,4.6014,2.459,3.432,3.9672
1179.25,0.05,68.6921,105.4936,280.441,3.7901,4.0482,2.4603,2.4566,2.8654
1179.375,0.059,68.6557,110.0621,306.9182,3.4219,3.6936,2.4148,2.0996,2.5121
1179.5,0.067,68.6296,106.436,328.6884,3.0541,3.4285,2.3773,2.3761,2.8353
1179.625,0.076,68.6184,98.6544,329.6483,3.034,3.4884,2.3926,2.2561,2.677
1179.75,0.084,68.6273,90.6855,325.5299,3.3336,3.5625,2.4268,2.2449,2.6258
1179.875,0.092,68.6104,90.4401,323.6241,3.5979,3.6636,2.434,2.7042,3.1485
1180,0.101,68.5784,95.3181,300.8021,3.6815,3.7539,2.4364,2.4877,2.9004
1180.125,0.109,68.5822,102.7577,306.0211,3.5331,3.6391,2.4268,2.2236,2.602
1180.25,0.117,68.5656,110.3909,316.5823,3.3959,3.549,2.4141,1.9661,2.3288
1180.375,0.126,68.5706,117.9535,330.5893,2.9298,3.107,2.3887,1.7506,2.0804
1180.5,0.134,68.5986,115.0629,337.2229,2.8363,3.037,2.3712,1.7257,2.0411
1180.625,0.143,68.6309,109.6364,332.3284,2.861,3.0173,2.3954,1.6486,1.9817
1180.75,0.151,68.7111,106.978,335.6441,2.9076,3.0104,2.4274,1.6656,2.0025
1180.875,0.159,68.8037,107.7585,335.7727,2.9149,3.0546,2.4214,1.7466,2.0652
1181,0.168,68.9202,110.404,329.014,2.9711,3.1657,2.392,1.7795,2.1031
1181.125,0.176,69.0581,108.9201,337.824,3.1507,3.3028,2.3933,1.6492,1.954
1181.25,0.185,69.1612,105.423,334.1452,3.225,3.3732,2.4263,1.5839,1.881
1181.375,0.193,69.2277,102.6612,321.5898,3.2031,3.3572,2.4557,1.7842,2.107
1181.5,0.201,69.2615,103.2483,318.1732,3.1759,3.3527,2.4455,1.766,2.0878
1181.625,0.21,69.2988,108.0423,328.8603,3.0424,3.2346,2.3883,1.7598,2.0883
1181.75,0.218,69.3492,113.9141,331.5765,2.9079,3.1675,2.3565,1.5856,1.8827
1181.875,0.227,69.3911,117.5599,331.3481,2.8928,3.3648,2.3669,1.6861,1.9955
1182,0.235,69.4721,114.366,337.0114,3.2583,3.6203,2.4013,1.7943,2.1194
1182.125,0.243,69.545,108.6621,334.4568,3.5726,3.7696,2.4603,1.9081,2.4008
1182.25,0.252,69.7012,101.6676,315.5171,3.6862,3.8513,2.5429,3.4867,4.796
1182.375,0.26,69.9186,100.0995,278.8853,3.5827,3.7737,2.5463,3.5312,4.1393
1182.5,0.268,70.1794,101.8029,295.7667,3.5101,3.7142,2.4904,1.8229,2.1508
1182.625,0.277,70.5465,99.5447,329.6802,3.2557,3.5217,2.4431,1.5686,1.8633
1182.75,0.285,70.7667,96.0732,336.1315,2.942,3.2075,2.4333,1.4802,1.7626
1182.875,0.294,71.004,94.6149,317.3242,2.9966,3.1752,2.4303,1.4524,1.7309
1183,0.302,71.105,97.4733,322.8621,3.0951,3.2022,2.4131,1.5623,1.8555
1183.125,0.31,71.0905,98.3702,329.2221,3.064,3.2003,2.3885,1.6375,1.9434
1183.25,0.319,71.0387,98.9509,332.7988,2.8988,3.0371,2.4028,1.6497,1.9556
1183.375,0.327,70.9644,100.9254,335.277,2.9067,3.0039,2.4416,1.6148,1.9133
1183.5,0.336,70.8736,105.3,333.5536,2.8725,2.9973,2.4738,1.5307,1.8209
1183.625,0.344,70.816,109.3265,334.4201,2.8133,3.1145,2.4621,1.5283,1.8177
1183.75,0.352,70.7799,107.9716,331.3181,3.0177,3.5792,2.4379,1.5841,1.8786
1183.875,0.361,70.7706,103.8743,327.802,3.5328,3.911,2.4547,1.6191,1.919
1184,0.369,70.727,98.751,320.4738,4.3974,4.5702,2.5244,2.053,2.4896
1184.125,0.378,70.6505,100.964,290.7023,4.7497,4.9363,2.5572,3.137,3.6899
1184.25,0.386,70.5495,108.7456,270.4429,4.6407,4.8084,2.5317,3.2578,3.9148
1184.375,0.394,70.4243,114.6562,285.407,4.1333,4.3782,2.4533,2.2984,2.7165
1184.5,0.403,70.3667,113.4562,309.0871,3.4521,3.7169,2.3885,1.606,1.9055
1184.625,0.411,70.3243,107.4556,325.0258,3.2199,3.4471,2.3697,1.5501,1.8417
1184.75,0.419,70.2969,99.0672,335.9038,3.1413,3.319,2.3567,1.5624,1.8827
1184.875,0.428,70.2413,94.673,329.2003,3.1532,3.272,2.3534,1.8687,2.5278
1185,0.436,70.1039,96.8603,306.7848,3.2455,3.3055,2.4091,1.878,2.2397
1185.125,0.445,70.0005,100.8157,315.1918,3.2598,3.3122,2.4331,1.6342,1.9378
