"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","RMG","RMN"
1215.25,0,69.1133,127.581,324.5588,3.2394,3.5506,1.8295,2.2038
1215.375,0.008,68.9987,121.0242,324.8105,3.7764,4.0106,2.094,2.4405
1215.5,0.017,68.4705,116.8424,308.0999,4.1981,4.35,3.788,3.8235
1215.625,0.025,69.0088,117.3243,297.2234,4.2449,4.4067,3.6255,3.4886
1215.75,0.033,70.1596,118.8788,304.4792,4.0081,4.2348,2.8201,2.8169
1215.875,0.042,70.7301,121.299,325.9379,3.5697,3.8604,2.0358,2.2646
1216,0.05,70.4213,122.6765,342.8519,3.0495,3.3716,1.5376,1.9343
1216.125,0.059,70.6574,123.2412,334.6896,2.7357,3.0397,1.6832,1.9535
1216.25,0.067,70.5265,122.6351,337.5205,2.6975,2.9601,1.5512,1.8295
1216.375,0.075,70.8035,121.7807,345.6703,2.7643,3.0011,1.5204,1.8435
1216.5,0.084,71.1332,120.787,347.2732,2.763,2.9944,1.7062,2.004
1216.625,0.092,71.6014,118.7319,335.8499,2.8042,3.046,2.062,2.1328
1216.75,0.1,71.2934,117.5087,345.983,2.975,3.2561,1.6647,2.0059
1216.875,0.109,70.5352,115.7623,343.8793,3.1242,3.4357,2.1306,2.282
1217,0.117,70.2868,114.9568,333.5791,3.1777,3.4823,1.9771,2.243
1217.125,0.125,69.934,117.6894,312.3203,3.2173,3.5055,1.9624,2.2794
1217.25,0.134,69.8306,120.8096,320.9757,3.1777,3.4646,1.727,2.0636
1217.375,0.142,70.6379,122.2173,348.6666,2.9826,3.3087,1.694,2.0228
1217.5,0.151,70.8516,123.7794,351.162,2.8009,3.1676,1.7292,2.0265
1217.625,0.159,70.7373,122.8572,350.9997,2.8334,3.2073,1.5486,1.9085
1217.75,0.167,70.8993,120.7569,348.6966,3.219,3.561,1.7498,2.1532
1217.875,0.176,71.1072,120.4595,338.8101,3.6609,3.9506,2.0499,2.6045
1218,0.184,70.5851,120.5725,277.5859,3.8363,4.1024,6.1661,5.5148
1218.125,0.192,71.1068,121.4081,270.1488,3.7416,4.0312,3.1177,2.959
1218.25,0.201,71.9145,121.5812,320.0631,3.4784,3.8584,1.8463,2.1062
1218.375,0.209,71.3953,119.0331,340.2156,3.186,3.6281,1.5087,1.8951
1218.5,0.217,71.8198,116.1274,336.5985,2.9387,3.3348,1.5436,2.028
1218.625,0.226,72.0949,114.5238,311.5676,2.8985,3.2411,3.4371,2.8258
1218.75,0.234,71.8801,115.1525,334.9443,3.0344,3.3183,1.8001,2.0401
1218.875,0.242,72.0826,121.1258,345.7827,3.0948,3.3561,1.8425,2.0109
1219,0.251,72.1,125.2962,333.8584,2.9258,3.1968,1.681,1.9627
1219.125,0.259,72.0544,123.7982,348.6327,2.7579,2.9956,1.6328,1.9994
1219.25,0.268,71.5479,120.9715,348.0343,2.6552,2.9355,1.5275,1.9017
1219.375,0.276,70.9647,116.1801,342.8604,2.5874,2.9696,1.5353,1.9571
1219.5,0.284,71.6343,111.6445,347.7242,3.022,3.4969,1.7275,2.0711
1219.625,0.293,71.5526,104.8732,334.3603,3.9255,4.4704,1.8995,2.371
1219.75,0.301,70.618,97.6616,293.4255,5.0634,5.6206,5.0054,5.5842
1219.875,0.309,70.7445,97.3228,243.3844,6.5971,7.0609,7.9876,7.647
1220,0.318,70.7265,102.0616,261.501,7.31,7.6562,4.6265,4.7054
1220.125,0.326,70.357,110.9031,278.7691,6.0206,6.3948,4.3944,4.4178
1220.25,0.334,70.7001,117.5576,281.241,4.15,4.6349,2.934,2.9688
1220.375,0.343,71.1357,114.1739,311.3469,3.2745,3.7687,1.6755,2.0611
1220.5,0.351,71.4141,106.1604,350.9821,3.1508,3.5492,1.508,1.9423
1220.625,0.36,71.2594,102.3326,334.7994,3.1608,3.4796,1.9874,2.3886
1220.75,0.368,71.1227,103.4505,287.8185,3.3063,3.5078,3.863,3.9865
1220.875,0.376,71.6556,107.8355,306.132,3.5038,3.6317,2.7041,2.5286
1221,0.385,71.8783,116.1274,327.4307,3.4217,3.5991,1.7251,2.044
1221.125,0.393,71.9767,121.9689,329.572,3.032,3.2675,1.7564,2.0228
1221.25,0.401,71.9947,123.96,331.5733,2.7483,3.0131,1.4563,1.8734
1221.375,0.41,71.4474,125.8721,333.5647,2.7794,3.0245,1.682,2.0061
1221.5,0.418,71.6028,126.0227,343.108,2.8938,3.1016,1.9102,2.2185
1221.625,0.426,71.8859,126.0378,346.8885,2.9802,3.1524,1.8158,2.31
1221.75,0.435,72.1122,126.4443,345.3631,3.0124,3.1615,1.8224,2.1858
1221.875,0.443,73.2981,125.6839,338.4266,2.8896,3.0762,1.4153,1.8467
1222,0.452,73.5016,123.8697,352.9242,2.7154,2.9522,1.7657,2.037
1222.125,0.46,73.4951,121.5473,369.511,2.7092,2.9279,1.6513,1.9509
1222.25,0.468,73.2576,119.688,356.5203,2.7494,2.908,1.4466,1.8308
1222.375,0.477,72.5533,119.9364,324.7321,2.7128,2.8233,2.0444,2.2976
1222.5,0.485,72.724,121.5323,320.0181,2.6536,2.7715,1.6827,1.9691
1222.625,0.493,72.8064,126.0867,349.5582,2.5951,2.743,1.3844,1.7999
1222.75,0.502,72.8436,133.4074,364.1192,2.5362,2.6865,1.3299,1.741
1222.875,0.51,72.3888,138.6355,355.6699,2.5546,2.6868,1.5474,1.8849
1223,0.518,71.7822,140.5589,350.148,2.6874,2.8089,1.2891,1.7822
1223.125,0.527,70.7301,138.3156,347.6503,2.7988,2.9385,1.6367,2.1522
1223.25,0.535,70.7908,131.9283,346.0521,2.9024,3.0707,1.7265,2.1683
1223.375,0.543,70.6961,129.9408,348.5725,3.0985,3.2437,1.6751,2.1422
1223.5,0.552,70.2984,132.2481,344.6067,3.2142,3.3267,1.6458,2.1525
1223.625,0.56,70.7767,135.0825,342.9358,3.1591,3.2978,1.8579,2.2802
1223.75,0.569,70.2615,136.1664,347.0228,3.0425,3.2198,1.8795,2.2769
1223.875,0.577,68.8837,129.3838,354.1417,2.9625,3.1207,1.8121,2.1829
1224,0.585,68.5768,118.668,351.6547,2.7794,2.9325,1.7545,2.0169
1224.125,0.594,70.8935,107.6171,346.0253,2.632,2.7953,1.6473,1.9731
1224.25,0.602,72.9351,99.0505,342.7745,2.7208,2.8473,1.4484,1.7697
1224.375,0.61,73.5953,94.1987,348.7755,2.7508,2.8683,1.4335,1.8868
1224.5,0.619,74.318,94.545,312.5204,2.7167,2.8343,2.7401,2.5155
1224.625,0.627,73.8679,99.3816,309.8335,2.7938,2.8658,1.7043,1.9398
1224.75,0.635,73.7775,105.9159,347.0378,2.8598,2.9317,1.3233,1.7314
1224.875,0.644,73.7511,113.5641,363.8505,2.6966,2.7954,1.3512,1.8126
1225,0.652,74.0324,118.0506,348.8384,2.5178,2.5987,1.9401,2.0602
1225.125,0.661,74.5121,121.7243,345.7317,2.4531,2.5211,1.4085,1.6946
1225.25,0.669,74.5635,126.5308,368.0885,2.3657,2.4728,1.1395,1.5378
1225.375,0.677,74.5996,130.2194,389.4777,2.2399,2.3965,0.983,1.5749
1225.5,0.686,73.9955,131.5895,367.4861,2.2052,2.3848,1.1993,1.5804
1225.625,0.694,73.6922,127.0314,350.0641,2.3525,2.5367,1.074,1.6465
1225.75,0.702,73.5327,120.1397,335.64,2.5331,2.7063,1.6808,1.944
1225.875,0.711,73.0559,116.3268,313.3388,2.6237,2.8117,2.0927,2.3651
1226,0.719,73.0313,113.4625,316.8166,2.7565,2.981,1.5628,2.006
