"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","DEN","RMG","RMN"
1163.125,0,69.2756,113.4078,330.9128,2.9442,3.2215,2.4683,1.6216,1.9297
1163.25,0.008,69.2214,118.2632,348.087,2.8106,3.104,2.4548,1.7064,2.0268
1163.375,0.017,68.7926,125.0223,333.8674,2.7221,2.99,2.4287,1.7295,2.0554
1163.5,0.025,68.4383,128.0929,339.2048,2.6721,2.9517,2.4314,1.7174,2.0413
1163.625,0.034,68.41,128.5578,337.8391,2.6583,2.9469,2.4526,1.7331,2.058
1163.75,0.042,68.4457,122.6826,349.2011,2.6714,2.9464,2.458,1.6707,1.9853
1163.875,0.05,68.0152,118.1898,338.7878,2.6198,2.9617,2.4537,1.9064,2.2565
1164,0.059,67.5794,115.7706,352.7995,2.6763,3.0104,2.4546,1.8098,2.1467
1164.125,0.067,67.5764,112.1843,346.0185,2.7456,3.097,2.4661,1.6897,2.0086
1164.25,0.076,67.4637,108.8869,341.7493,2.8978,3.1889,2.4904,1.6667,1.9802
1164.375,0.084,67.2336,113.6231,331.8522,3.0082,3.2797,2.5126,1.8996,2.248
1164.5,0.092,67.428,122.7218,321.0794,3.0727,3.3444,2.503,2.1189,2.4973
1164.625,0.101,67.7452,129.4414,325.2295,3.0248,3.3133,2.4816,2.1038,2.4807
1164.75,0.109,68.2011,125.708,334.0741,2.9737,3.2754,2.4621,2.0437,2.4114
1164.875,0.118,68.4647,122.5353,333.9028,2.8644,3.1803,2.4362,2.0911,2.4663
1165,0.126,68.3438,121.4304,331.6977,2.7187,3.0346,2.4272,1.9523,2.3085
1165.125,0.134,68.1624,116.5865,341.5727,2.5763,3.0613,2.4646,1.9362,2.2909
1165.25,0.143,68.416,110.0825,341.1097,2.628,3.2555,2.4846,1.9663,2.3234
1165.375,0.151,68.352,101.8164,347.019,3.076,3.4559,2.4993,1.9259,2.312
1165.5,0.16,68.2446,101.7992,306.3724,3.2752,3.5297,2.5045,3.5194,4.3268
1165.625,0.168,68.3383,106.6942,291.0302,3.4247,3.6416,2.5139,5.4817,6.3704
1165.75,0.176,69.4917,109.5951,327.389,3.3692,3.62,2.5407,2.0176,2.3848
1165.875,0.185,69.6452,105.7879,332.3105,3.1818,3.5227,2.5484,2.1264,2.5131
1166,0.193,69.0845,102.7965,339.2637,2.8543,3.2211,2.5311,1.8879,2.24
1166.125,0.202,68.9075,102.5754,338.2113,2.7487,3.0963,2.5045,1.9114,2.2602
1166.25,0.21,68.7885,104.4789,331.9151,2.7669,3.0695,2.4762,2.1333,2.5135
1166.375,0.218,68.7778,106.8472,340.8895,2.8272,3.0872,2.4608,2.1013,2.4771
1166.5,0.227,68.9343,108.2353,340.9414,2.8714,3.1332,2.4548,2.2457,2.641
1166.625,0.235,69.189,111.5837,349.2996,2.8072,3.0917,2.4704,2.0871,2.4632
1166.75,0.244,69.0522,112.3486,344.0576,2.7452,3.0256,2.4854,1.7861,2.1191
1166.875,0.252,69.0102,111.697,335.6432,2.7727,3.03,2.482,1.8516,2.1911
1167,0.261,69.1957,114.6825,335.534,2.667,2.9942,2.4741,1.7201,2.0421
1167.125,0.269,68.9064,120.3651,338.1352,2.6999,3.0289,2.4779,1.7155,2.0374
1167.25,0.277,68.5878,121.5323,338.6837,2.7439,3.0361,2.4846,1.9682,2.3246
