"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","DEN","RMG","RMN"
1403.625,0,59.9903,103.0032,320.9824,4.5517,5.1561,2.4447,2.3484,2.7371
1403.75,0.008,58.8342,95.1691,302.4398,6.0728,7.0236,2.471,2.9982,3.5555
1403.875,0.017,57.6454,89.294,280.4447,7.9113,9.3108,2.4937,3.9921,4.7387
1404,0.025,56.79,86.4856,262.5637,9.6168,11.468,2.5073,4.8728,6.1863
1404.125,0.033,56.5167,87.3888,257.1937,10.2167,12.3007,2.5003,5.1412,6.6812
1404.25,0.042,56.9146,90.3832,257.7581,9.7751,11.8675,2.4839,5.0519,6.3798
1404.375,0.05,57.4225,95.0836,264.438,8.4818,10.3867,2.4587,4.6187,5.3645
1404.5,0.058,57.6002,101.0453,279.2545,6.6344,8.1978,2.4322,3.8977,4.4013
1404.625,0.067,58.0598,105.5207,297.5667,5.1499,6.3585,2.4193,3.0715,3.551
1404.75,0.075,58.7298,106.6409,309.3844,4.3985,5.3592,2.4205,2.652,3.0633
1404.875,0.083,59.3904,103.514,311.4704,4.4229,5.2819,2.4393,2.6002,3.0258
1405,0.092,59.5821,96.7426,305.2254,5.0185,5.9051,2.4627,2.9146,3.4344
1405.125,0.1,59.0274,90.6397,298.0395,5.6767,6.6573,2.4745,3.2721,3.8057
1405.25,0.109,58.7485,89.3187,296.7336,5.8655,6.9153,2.4721,3.3323,3.8907
1405.375,0.117,59.056,92.985,302.5444,5.4928,6.5443,2.4663,3.0796,3.6238
1405.5,0.125,59.8843,100.7182,315.8626,4.603,5.5498,2.458,2.5272,2.9203
1405.625,0.134,60.7148,107.3195,332.3662,3.6648,4.3956,2.451,2.0159,2.3374
1405.75,0.142,61.2679,110.3244,344.1268,3.0195,3.5397,2.4381,1.8365,2.13
1405.875,0.15,61.5942,109.9999,349.6872,2.7032,3.0665,2.4252,1.7899,2.0991
1406,0.159,61.941,108.0324,351.7822,2.6594,2.9494,2.4205,1.7845,2.0936
1406.125,0.167,61.8537,106.6836,352.2798,2.7824,3.0915,2.4334,1.7894,2.1003
1406.25,0.175,61.7634,104.855,348.9147,2.9354,3.2952,2.451,1.8212,2.1229
1406.375,0.184,61.5935,102.1279,343.7135,3.0703,3.49,2.4632,1.8569,2.1608
1406.5,0.192,61.2212,99.4144,339.1861,3.152,3.6261,2.4604,1.9243,2.2225
1406.625,0.2,60.8619,100.4582,334.2453,3.1613,3.688,2.4522,1.9785,2.3071
1406.75,0.209,60.4967,103.1255,330.786,3.2042,3.7929,2.451,2.0151,2.3487
1406.875,0.217,60.3789,105.5276,328.0866,3.3352,3.9937,2.462,2.0511,2.3927
1407,0.225,60.4857,105.9723,322.4437,3.5773,4.3,2.4815,2.1804,2.5356
1407.125,0.234,60.3867,104.97,317.8222,3.7915,4.5355,2.4886,2.3345,2.707
1407.25,0.242,60.4857,104.1727,317.5352,3.872,4.605,2.485,2.3443,2.7363
1407.375,0.25,60.879,103.6431,318.5725,3.8041,4.5008,2.4728,2.3181,2.6968
1407.5,0.259,61.4829,103.0457,320.5073,3.6125,4.2414,2.458,2.2458,2.6159
1407.625,0.267,61.5057,102.7175,328.9036,3.3685,3.8684,2.4439,2.0507,2.3998
1407.75,0.275,61.7571,103.557,335.7218,3.1723,3.5294,2.4334,1.9383,2.2521
1407.875,0.284,62.7331,105.3227,339.4231,3.0297,3.2721,2.4282,1.8783,2.1713
1408,0.292,63.7795,106.6724,343.1875,2.9266,3.1237,2.4369,1.8174,2.1249
1408.125,0.301,64.0388,104.1718,342.3174,3.006,3.2571,2.4721,1.8452,2.1475
1408.25,0.309,63.8434,98.7774,330.0525,3.4862,3.8548,2.5203,2.0597,2.4273
1408.375,0.317,63.3464,91.9008,308.5941,4.5169,5.0528,2.5665,2.8567,3.3338
1408.5,0.326,63.013,86.0001,284.7388,6.0046,6.7138,2.5942,3.9722,4.6506
1408.625,0.334,63.031,85.3454,270.1619,7.1503,7.9449,2.5853,4.6381,5.3376
1408.75,0.342,63.2311,88.0597,269.9072,7.3902,8.1856,2.5625,4.6249,5.308
1408.875,0.351,63.5574,91.8758,280.1222,6.8123,7.5348,2.5344,4.1782,4.8126
1409,0.359,63.979,94.4713,293.4108,5.7166,6.2931,2.5003,3.5468,4.1464
1409.125,0.367,64.3788,95.3906,307.7481,4.8269,5.1591,2.4456,2.9057,3.3856
1409.25,0.376,64.6801,97.2946,321.823,4.2468,4.3197,2.3852,2.295,2.7255
1409.375,0.384,64.9113,100.9623,332.1659,3.9033,3.7674,2.3355,2.0378,2.3868
1409.5,0.392,65.1538,105.7026,339.1475,3.6916,3.4546,2.3195,1.891,2.1988
1409.625,0.401,65.2099,107.977,342.5562,3.7244,3.521,2.3601,1.8414,2.1604
1409.75,0.409,64.6271,106.4205,335.1348,4.1633,4.042,2.424,1.9774,2.3314
1409.875,0.417,63.7499,102.3196,318.5099,4.9748,4.9603,2.4827,2.4161,2.8706
1410,0.426,62.8104,97.9373,299.2167,5.9946,6.108,2.5097,3.2911,3.8099
1410.125,0.434,62.314,98.1035,289.7938,6.5199,6.7878,2.4792,3.6775,4.3078
1410.25,0.442,62.2947,100.8909,287.9282,6.4025,6.7935,2.4275,3.6822,4.3279
1410.375,0.451,62.7683,104.6527,293.5481,5.7048,6.1427,2.3636,3.3801,3.9529
1410.5,0.459,62.9818,107.9406,306.9848,4.692,5.0597,2.3054,2.7607,3.2142
1410.625,0.467,62.9656,111.0624,323.6542,3.9101,4.1046,2.2707,2.1457,2.5336
1410.75,0.476,63.2747,113.6234,337.6582,3.4301,3.447,2.2573,1.8481,2.197
1410.875,0.484,63.7079,114.4664,349.7832,3.152,3.0182,2.2648,1.6927,2.0577
1411,0.492,63.9198,112.9101,360.1904,2.9771,2.7262,2.296,1.62,1.9805
1411.125,0.501,64.1301,110.4455,362.4757,2.8641,2.5276,2.3336,1.5998,1.962
1411.25,0.509,64.2205,109.2306,362.2941,2.7699,2.3613,2.3512,1.5964,1.9525
1411.375,0.518,64.0983,109.6168,361.9917,2.6798,2.2183,2.3477,1.591,1.9467
1411.5,0.526,64.2875,111.5214,361.0589,2.5836,2.1054,2.3336,1.5854,1.9422
1411.625,0.534,64.3177,112.5383,360.6706,2.5008,2.0471,2.3312,1.5819,1.9431
1411.75,0.543,63.9276,111.8749,361.6346,2.455,2.04,2.3301,1.5738,1.9311
1411.875,0.551,63.8574,110.7408,361.909,2.4627,2.0931,2.3218,1.574,1.9316
1412,0.559,64.1036,111.1634,360.615,2.5298,2.2115,2.3031,1.5822,1.9409
