"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","DEN","RMG","RMN"
1271.625,0,68.4615,115.1669,332.3901,3.3228,3.2357,2.4397,1.9758,2.3129
1271.75,0.008,68.3101,110.3428,336.9851,3.2826,3.1008,2.405,1.9303,2.2555
1271.875,0.017,68.079,104.0277,334.4618,3.3684,3.3565,2.4063,2.0047,2.3241
1272,0.025,67.9482,100.2077,328.2851,3.5603,3.7805,2.48,2.1293,2.4813
1272.125,0.033,68.1837,107.0402,328.2856,3.4949,3.7779,2.4726,2.0821,2.4291
1272.25,0.042,68.6163,113.6969,327.5419,3.4243,3.6213,2.4615,2.0569,2.3927
1272.375,0.05,69.1036,118.8155,326.6765,3.4109,3.4936,2.4754,2.0478,2.3771
1272.5,0.058,69.5462,121.5265,329.5602,3.3662,3.3123,2.4856,1.9827,2.3181
1272.625,0.067,70.0351,120.3296,343.776,3.173,3.0407,2.4463,1.8154,2.1447
1272.75,0.075,70.1921,119.1291,346.9295,3.1414,2.9604,2.4976,1.7953,2.1273
1272.875,0.083,70.1738,118.9025,344.9622,3.1574,3.0128,2.5254,1.8082,2.1327
1273,0.092,70.142,119.6914,344.7047,3.1543,2.9787,2.4708,1.8058,2.1261
1273.125,0.1,70.0819,119.3276,348.6572,3.1288,3.0616,2.4587,1.7801,2.1087
1273.25,0.109,69.9833,117.19,344.9466,3.1597,3.1667,2.4754,1.8132,2.1236
1273.375,0.117,69.9427,114.2081,339.3493,3.2345,3.3057,2.4878,1.8729,2.1695
1273.5,0.125,69.9861,111.7105,337.5747,3.2664,3.4489,2.48,1.8947,2.1972
1273.625,0.134,69.9126,110.6989,337.3131,3.2799,3.4496,2.4656,1.8996,2.1998
1273.75,0.142,69.8497,109.8693,333.9913,3.3208,3.422,2.4476,1.9465,2.2506
1273.875,0.15,69.7784,109.4155,333.6325,3.3269,3.3627,2.4324,1.9472,2.2513
1274,0.159,69.6966,110.4145,338.3191,3.2484,3.2162,2.4634,1.8806,2.1739
1274.125,0.167,69.6103,116.8057,341.6152,3.1782,3.0895,2.4819,1.8211,2.1313
1274.25,0.175,69.6353,117.7461,336.7295,3.2473,3.1837,2.4884,1.8696,2.1876
1274.375,0.184,69.7439,114.5817,327.7827,3.43,3.6383,2.5184,2.0176,2.3457
