"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","RMG","RMN"
1246.5,0,70.6085,106.5076,361.5326,2.7246,3.3312,1.8114,2.1759
1246.625,0.008,70.7111,103.3117,350.1757,3.0792,3.6314,2.2174,2.5898
1246.75,0.017,70.8337,95.9219,315.5894,3.5693,4.1344,2.7786,3.309
1246.875,0.025,70.9579,89.519,305.6072,5.0096,5.3269,2.9346,3.4501
1247,0.034,71.0642,85.6267,307.2302,7.278,7.212,3.2022,3.7515
1247.125,0.042,71.1545,84.514,288.5045,7.7127,7.6056,4.6665,5.8584
1247.25,0.05,71.224,87.4359,248.5651,7.0419,7.0403,6.4934,7.2483
1247.375,0.059,71.3233,94.9406,258.2777,6.1573,6.2913,3.6191,4.0338
1247.5,0.067,71.3997,99.9566,288.2588,5.2427,5.6193,2.5847,3.0891
1247.625,0.076,71.5338,104.726,320.1533,3.4942,4.2366,2.5118,3.0537
1247.75,0.084,71.651,106.0143,333.5091,2.8996,3.6719,2.594,3.0078
1247.875,0.092,71.8382,102.8841,347.8994,3.4384,3.9413,2.2611,2.5914
1248,0.101,71.9968,93.592,331.9205,4.1414,4.4202,2.7866,3.303
1248.125,0.109,72.1459,84.629,294.468,4.4241,4.6205,4.7423,5.3932
1248.25,0.117,72.2575,85.3582,280.3997,4.5025,4.6786,4.1539,4.6037
1248.375,0.126,72.3736,97.6104,321.4239,4.1525,4.4675,2.0242,2.3435
1248.5,0.134,72.4165,103.4377,336.1454,3.477,3.9962,1.9983,2.3145
1248.625,0.143,72.4259,109.1939,346.5155,2.6283,3.2915,1.8414,2.1468
1248.75,0.151,72.3846,115.1144,335.211,2.4588,3.1141,1.8255,2.1279
1248.875,0.159,72.3037,116.6054,336.6866,2.5338,3.1414,1.7875,2.0868
1249,0.168,72.2003,112.2364,351.3916,2.4968,3.1265,1.778,2.2149
1249.125,0.176,72.0846,107.8233,346.6337,2.5567,3.1859,1.8842,2.3405
1249.25,0.185,71.9857,107.9933,351.9949,2.7428,3.353,1.863,2.1669
1249.375,0.193,71.8656,109.3746,352.2397,3.0975,3.6507,2.1746,2.4973
1249.5,0.201,71.8076,104.5397,339.1813,3.2091,3.7391,2.159,2.48
1249.625,0.21,71.7647,98.5532,322.0925,3.2216,3.7733,2.0617,2.3798
1249.75,0.218,71.7708,102.1878,325.5502,3.1634,3.7788,1.9648,2.2781
1249.875,0.227,71.8243,105.8169,334.8547,2.8561,3.5483,1.9394,2.2503
1250,0.235,71.9432,107.7247,336.8175,2.5762,3.3616,1.8499,2.1541
1250.125,0.243,72.043,109.8681,347.1477,2.5866,3.3773,1.5981,2.0641
1250.25,0.252,72.1958,105.4113,357.857,3.2076,3.8776,1.7251,2.1995
1250.375,0.26,72.4063,95.0229,330.5809,3.7652,4.2991,2.8893,3.2575
1250.5,0.268,72.5628,92.7369,287.7648,3.9336,4.4022,4.2404,4.6939
1250.625,0.277,72.8072,97.3583,292.8074,3.769,4.3052,2.2317,2.5609
1250.75,0.285,73.0319,104.5561,327.507,3.6456,4.2541,2.0136,2.3289
1250.875,0.294,73.253,105.8279,340.0016,3.1141,3.8805,1.9644,2.2891
1251,0.302,73.4443,100.8228,336.0758,2.6958,3.436,2.3245,2.6901
1251.125,0.31,73.5987,99.1453,327.797,2.7605,3.4202,2.0724,2.3932
1251.25,0.319,73.6899,100.905,345.6762,2.8594,3.4485,1.7301,2.0276
1251.375,0.327,73.7312,102.2865,345.5227,2.9009,3.5227,1.5596,1.8452
1251.5,0.336,73.694,101.5355,339.2883,2.6564,3.3059,1.7533,2.051
1251.625,0.344,73.5464,102.9224,331.1248,2.6035,3.2312,1.8436,2.1479
1251.75,0.352,73.3736,103.4651,335.8128,2.5114,3.2427,1.805,2.1302
1251.875,0.361,73.0532,98.3339,341.5978,2.7341,3.6974,1.9883,2.3362
1252,0.369,72.7512,94.82,338.3394,3.7753,4.4786,2.0141,2.3278
1252.125,0.378,72.4389,91.7884,321.8957,5.3561,5.6917,3.3607,3.7622
1252.25,0.386,72.179,86.8437,273.86,6.8851,6.8899,6.4098,6.9984
1252.375,0.394,71.8554,83.0009,245.8758,8.1596,7.876,5.7922,6.3427
1252.5,0.403,71.6817,88.5705,258.8167,7.5506,7.423,4.4018,4.8674
1252.625,0.411,71.5035,100.3952,283.8226,4.8326,5.408,3.5679,3.9787
1252.75,0.419,71.4165,103.5692,320.3193,3.4683,4.2253,2.1257,2.5001
1252.875,0.428,71.3903,101.0531,354.9962,3.303,3.9708,1.8393,2.2116
1253,0.436,71.4112,95.7027,342.221,3.2165,3.7671,3.488,4.2625
1253.125,0.445,71.4655,87.5565,286.6239,3.3057,3.7449,6.7693,7.4769
1253.25,0.453,71.5313,88.9543,296.5432,3.4122,3.8011,3.5355,3.9462
1253.375,0.461,71.6441,104.408,328.9116,3.3583,3.8437,1.8074,2.1104
1253.5,0.47,71.7295,110.0106,339.6168,3.2013,3.7646,1.704,2.0274
1253.625,0.478,71.8697,104.419,354.4685,3.2781,3.7901,2.0277,2.5179
1253.75,0.487,72.0143,101.1901,306.5228,3.5046,3.9211,3.1814,3.9208
1253.875,0.495,72.1848,106.6611,300.0804,3.6966,4.024,2.6871,3.0611
1254,0.503,72.3727,111.0914,335.9533,3.6749,4.0134,1.7958,2.1003
1254.125,0.512,72.5428,114.2778,341.165,3.21,3.6823,1.8801,2.1874
1254.25,0.52,72.7704,113.9176,349.789,2.4857,3.1152,1.8428,2.1474
1254.375,0.529,73.0299,106.0481,366.7374,2.4958,3.0387,1.5889,1.8764
1254.5,0.537,73.1807,101.4129,364.5059,2.554,3.005,1.6014,1.8891
1254.625,0.545,73.3388,97.2376,335.5781,2.4338,2.8647,2.1688,2.5131
1254.75,0.554,73.4001,98.2517,339.1608,2.3509,2.7807,1.9077,2.4501
1254.875,0.562,73.3866,100.3458,372.7426,2.3687,2.7944,1.6282,2.0166
1255,0.57,73.2632,103.2842,373.5152,2.2239,2.7261,1.6658,1.967
1255.125,0.579,73.0773,105.5264,356.6221,2.1987,2.6695,1.8512,2.1616
1255.25,0.587,72.8685,107.012,356.0468,2.3826,2.8164,1.5704,1.8582
1255.375,0.596,72.5881,109.0787,356.2188,2.5708,3.0039,1.8269,2.1312
1255.5,0.604,72.2788,111.9895,357.1885,2.7158,3.1725,1.926,2.2423
1255.625,0.612,71.9469,113.519,355.8809,3.0319,3.442,1.8572,2.1749
1255.75,0.621,71.7397,114.7032,359.0463,3.2159,3.573,1.9767,2.2925
1255.875,0.629,71.5575,116.9781,352.2901,3.1466,3.5406,2.1532,2.4755
1256,0.638,71.4398,117.2359,346.9999,2.9602,3.4172,1.9055,2.2132
1256.125,0.646,71.4381,116.8466,357.6681,2.8084,3.2612,1.7744,2.0732
1256.25,0.654,71.5023,114.3634,359.962,2.6237,3.0948,1.7757,2.0759
1256.375,0.663,71.6449,108.1523,348.0691,2.2737,2.8276,1.5524,1.8379
1256.5,0.671,71.8558,100.9928,348.591,2.3342,2.8347,1.6591,1.9547
1256.625,0.68,72.1443,97.5446,371.1371,2.5613,2.9735,1.6343,1.9439
1256.75,0.688,72.4206,92.7753,330.3215,2.5423,2.9406,2.4299,2.8978
1256.875,0.696,72.638,86.7889,306.5062,2.5257,2.9034,2.5962,3.0037
1257,0.705,72.9518,88.5925,346.3121,2.7181,2.9982,1.4995,1.8451
1257.125,0.713,73.1884,98.6629,368.5172,2.4566,2.856,1.4934,1.7759
1257.25,0.721,73.3748,101.5739,344.3325,2.0504,2.5298,1.6282,1.9213
1257.375,0.73,73.5652,98.7287,346.9988,1.8497,2.3323,1.5358,1.8213
1257.5,0.738,73.7303,104.4354,381.1054,1.8135,2.2864,1.3148,1.5853
1257.625,0.747,73.8652,114.8896,381.8878,1.6771,2.2205,1.2212,1.488
1257.75,0.755,73.9289,112.8559,360.8601,1.7189,2.26,1.3844,1.662
1257.875,0.763,73.9363,106.0801,382.8639,1.8943,2.4006,1.4711,1.7522
1258,0.772,73.8726,98.6848,362.6089,2.1279,2.629,1.7998,2.1007
1258.125,0.78,73.7794,95.5875,347.8956,2.2971,2.8051,1.7747,2.0743
1258.25,0.789,73.6065,90.2865,357.247,2.8356,3.2753,1.6416,1.9349
1258.375,0.797,73.3924,84.3111,338.772,3.6639,3.9383,2.115,2.4362
1258.5,0.805,73.1296,77.8533,310.9283,4.0649,4.2614,3.0071,3.3826
1258.625,0.814,72.8002,80.83,281.3835,3.931,4.1667,3.4517,3.8578
1258.75,0.822,72.4941,92.0625,303.7575,3.4744,3.855,2.0259,2.3401
1258.875,0.831,72.2501,98.7286,341.9161,2.9279,3.4351,1.6666,1.9601
1259,0.839,71.8844,101.7493,342.1389,2.1656,2.8049,1.6053,1.8935
1259.125,0.847,71.6028,104.6766,347.7492,1.8574,2.5283,1.5274,1.8121
