"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","DEN","RMG","RMN"
1413.125,0,65.3262,96.9692,319.0709,4.8268,5.1217,2.3347,2.4522,2.871
1413.25,0.008,64.4565,94.584,306.9874,5.7479,6.0518,2.3802,2.8678,3.379
1413.375,0.017,63.541,95.6428,289.592,6.2057,6.6344,2.4313,3.4319,4.0235
1413.5,0.025,62.7156,94.1101,274.2139,5.8277,6.266,2.4749,3.8868,4.4367
1413.625,0.034,62.5728,100.7356,275.5438,5.0677,5.5721,2.461,3.7707,4.2465
1413.75,0.042,63.4924,105.4236,280.3793,4.22,4.6811,2.3657,3.5496,3.9839
1413.875,0.05,64.4375,109.8516,290.7464,3.537,3.9116,2.2724,3.0751,3.4811
1414,0.059,64.9277,112.573,306.7012,3.3149,3.6,2.2308,2.5632,2.9286
1414.125,0.067,65.3021,107.7662,323.2576,3.8069,3.9808,2.2326,2.1769,2.5307
1414.25,0.076,64.4763,100.7598,317.2527,4.0021,4.171,2.2917,2.3861,2.7844
1414.375,0.084,62.8849,95.6026,313.1789,4.0217,4.1755,2.3244,2.5469,2.9694
1414.5,0.092,61.837,95.0448,310.1373,3.7618,3.9537,2.3319,2.6106,3.0707
1414.625,0.101,61.5422,99.9149,310.7202,3.3687,3.5864,2.324,2.5413,2.9329
1414.75,0.109,61.5703,108.5642,317.139,3.0527,3.223,2.3153,2.271,2.6039
1414.875,0.118,60.9014,114.7496,327.098,2.9246,3.0678,2.325,2.0129,2.3276
1415,0.126,61.2621,113.78,338.8609,2.9526,3.0602,2.3384,1.8645,2.1598
1415.125,0.134,61.6345,112.0529,340.5948,2.9951,3.1306,2.3405,1.8523,2.1477
1415.25,0.143,61.7663,109.9411,340.1094,3.0672,3.2346,2.3301,1.8646,2.1568
1415.375,0.151,61.9489,108.3642,340.456,3.1834,3.3588,2.3136,1.8666,2.1617
1415.5,0.16,62.715,108.6887,337.0858,3.3307,3.5042,2.3041,1.9037,2.2066
1415.625,0.168,62.5584,108.9625,306.6223,3.3077,3.5055,2.3263,2.617,2.9609
