"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","DEN","RMG","RMN"
1172.25,0,69.8994,89.7215,315.9408,3.963,4.2325,2.4562,2.4635,2.9452
1172.375,0.008,66.2835,86.8969,309.0346,4.0869,4.3787,2.5098,2.649,3.1657
1172.5,0.017,63.9559,90.8255,308.008,3.9586,4.2773,2.5129,2.6681,3.1746
1172.625,0.025,63.9396,98.0195,312.5197,3.5581,3.8535,2.4785,2.4979,2.9051
1172.75,0.033,64.4336,104.3416,321.6099,3.1716,3.4016,2.4427,2.206,2.5532
1172.875,0.042,64.7563,109.3146,333.6406,2.9311,3.0949,2.4097,1.9646,2.2807
1173,0.05,65.6381,112.1923,339.3013,2.8261,2.9599,2.3642,1.879,2.1941
1173.125,0.059,65.2467,114.1853,342.848,2.8655,2.9938,2.3196,1.84,2.1557
1173.25,0.067,65.8922,114.9632,339.825,2.8796,3.0134,2.2954,1.8672,2.1772
1173.375,0.075,66.9299,113.703,337.6458,2.9009,3.049,2.2977,1.8883,2.2045
1173.5,0.084,67.1373,109.8891,345.2225,2.9999,3.1688,2.3289,1.8377,2.1433
1173.625,0.092,67.2837,106.2793,345.3991,3.1629,3.3343,2.3828,1.8496,2.1546
1173.75,0.1,68.141,102.1845,339.0908,3.2359,3.4352,2.4241,1.9272,2.2246
1173.875,0.109,69.2575,101.1799,335.5588,3.2933,3.5215,2.4508,1.9792,2.2875
1174,0.117,70.7456,102.1962,333.0171,3.3111,3.561,2.4636,1.998,2.3108
1174.125,0.125,72.8003,103.3344,328.7876,3.2094,3.4754,2.461,2.0551,2.3758
1174.25,0.134,74.6537,106.2063,328.8527,3.0695,3.3399,2.4539,2.0301,2.3479
1174.375,0.142,75.8023,110.0453,331.7003,2.953,3.2068,2.4522,1.9641,2.2675
1174.5,0.151,76.1072,110.7342,334.386,2.9165,3.1647,2.4515,1.9211,2.226
1174.625,0.159,74.2217,110.3137,335.8226,3.0891,3.3812,2.4438,1.9119,2.2126
1174.75,0.167,72.2677,106.309,333.1668,3.342,3.6665,2.4251,1.9665,2.2761
1174.875,0.176,71.3885,99.6839,325.2617,3.6001,3.9304,2.391,2.1468,2.4913
1175,0.184,72.1432,98.1426,313.2144,3.7979,4.1327,2.3298,2.5245,2.9259
1175.125,0.192,71.3514,97.2452,309.3236,3.6214,3.9836,2.2993,2.6454,3.0801
1175.25,0.201,71.2055,96.6812,311.538,3.4141,3.7817,2.3043,2.5508,2.9912
1175.375,0.209,72.0085,96.4053,318.9186,3.1919,3.5155,2.3279,2.2996,2.6854
1175.5,0.217,73.1189,96.5877,328.9414,3.0069,3.2493,2.3503,2.0689,2.4128
1175.625,0.226,71.7173,99.0638,334.9415,3.0315,3.2508,2.3498,1.9715,2.2823
1175.75,0.234,68.9313,104.9712,338.0365,3.0777,3.291,2.3503,1.9016,2.1957
1175.875,0.242,66.0538,112.0036,336.9442,3.1116,3.329,2.3611,1.8848,2.1987
1176,0.251,64.642,115.3857,335.026,3.0626,3.2676,2.3735,1.9071,2.2215
1176.125,0.259,64.6283,114.7439,336.0936,2.9966,3.1893,2.3583,1.8927,2.2027
1176.25,0.268,64.9596,112.0194,338.6779,2.9626,3.1565,2.3289,1.8604,2.1599
1176.375,0.276,65.5695,106.3525,340.9069,2.9174,3.1191,2.3084,1.8475,2.1474
1176.5,0.284,64.8707,102.9845,339.8056,2.8783,3.1219,2.3168,1.8729,2.1724
1176.625,0.293,65.4094,96.7539,337.6361,3.1371,3.4971,2.3677,1.944,2.2601
1176.75,0.301,65.8388,89.8668,329.4166,3.6844,4.1464,2.4334,2.144,2.5359
