WELL,START,STOP,LITHO
л╚23,1267,1270.84,SH
л╚23,1270.84,1271.52,GA
л╚23,1271.52,1276.28,SH
л╚23,1276.28,1277.12,GA
л╚23,1277.12,1286.78,SH
л╚23,1286.78,1287.47,SA
л╚23,1287.47,1289.48,SH
л╚23,1289.48,1290.2,SA
л╚23,1290.2,1291.66,SH
л╚23,1291.66,1293.36,SA
л╚23,1293.36,1296.72,SH
л╚23,1296.72,1297.65,SS
л╚23,1297.65,1298.78,SH
л╚23,1298.78,1299.62,SA
л╚23,1299.62,1300.22,SS
л╚23,1300.22,1301.11,SA
л╚23,1301.11,1301.64,SS
л╚23,1301.64,1302.4,SA
л╚23,1302.4,1306.58,SH
л╚23,1306.58,1307.54,SS
л╚23,1307.54,1313.4,SH
л╚23,1313.4,1315.4,SS
л╚23,1315.4,1329.22,SH
л╚23,1329.22,1330.22,SA
л╚23,1330.22,1330.88,SS
л╚23,1330.88,1333.15,SA
л╚23,1333.15,1334.79,SH
л╚23,1334.79,1336.62,SA
л╚23,1336.62,1337.2,SH
л╚23,1337.2,1338.18,SA
л╚23,1338.18,1343,SH
л╚23,1343,1345.73,SA
л╚23,1345.73,1367.03,SH
л╚108,1140.04,1148.72,SH
л╚108,1148.72,1149.36,GA
л╚108,1149.36,1160,SH
л╚108,1160,1162.36,SS
л╚108,1162.36,1164.4,SH
л╚108,1164.4,1165.68,SS
л╚108,1165.68,1176.8,SH
л╚108,1176.8,1178.63,SS
л╚108,1178.63,1183.59,SH
л╚108,1183.59,1189.8,SA
л╚108,1189.8,1192.51,SH
л╚108,1192.51,1194.6,SS
л╚108,1194.6,1198.6,SH
л╚108,1198.6,1199.92,SA
л╚108,1199.92,1200.72,SS
л╚108,1200.72,1203.42,SA
л╚108,1203.42,1209.08,SH
л╚108,1209.08,1210.02,SS
л╚108,1210.02,1210.8,SH
л╚108,1210.8,1213.08,SA
л╚108,1213.08,1213.62,SS
л╚108,1213.62,1214.6,SA
л╚108,1214.6,1218.2,SH
л╚108,1218.2,1219.8,SS
л╚108,1219.8,1239.4,SH
л╚121,1168.12,1176.82,SH
л╚121,1176.82,1177.74,GA
л╚121,1177.74,1187.32,SH
л╚121,1187.32,1188.62,SS
л╚121,1188.62,1189.16,SH
л╚121,1189.16,1189.84,SS
л╚121,1189.84,1190.22,SH
л╚121,1190.22,1191,SS
л╚121,1191,1192.72,SH
л╚121,1192.72,1193.44,SS
л╚121,1193.5,1193.72,SH
л╚121,1193.72,1194.34,SS
л╚121,1194.34,1196,SH
л╚121,1196,1197.02,SA
л╚121,1197.02,1197.32,SS
л╚121,1197.32,1198.4,SA
л╚121,1198.4,1204.6,SH
л╚121,1204.6,1206.4,SA
л╚121,1206.4,1212.8,SH
л╚121,1212.8,1214.2,SS
л╚121,1214.2,1219.44,SH
л╚121,1219.44,1220.22,SS
л╚121,1220.22,1220.96,SH
л╚121,1220.96,1223.8,SS
л╚121,1223.8,1228,SH
л╚121,1228,1229.92,SA
л╚121,1229.92,1230.7,GA
л╚121,1230.7,1234,SA
л╚121,1234,1240.8,SH
л╚121,1240.8,1242,SA
л╚121,1242,1244.15,SH
л╚121,1244.15,1245.08,SS
л╚121,1245.08,1246.6,SH
л╚121,1246.6,1247.7,SA
л╚121,1247.7,1248.1,SH
л╚121,1248.1,1248.6,SA
ню2-8-17,1158.18,1178.8,SH
ню2-8-17,1178.8,1180.52,SS
ню2-8-17,1180.52,1182.08,SH
ню2-8-17,1182.08,1183.04,SA
ню2-8-17,1183.04,1183.8,SH
ню2-8-17,1183.8,1184.96,SA
ню2-8-17,1184.96,1187,SA
ню2-8-17,1187,1189.98,SH
ню2-8-17,1189.98,1191.4,SA
ню2-8-17,1191.4,1192.18,SA
ню2-8-17,1192.18,1192.66,GA
ню2-8-17,1192.66,1193.42,SS
ню2-8-17,1193.42,1194,SS
ню2-8-17,1194,1195.18,SA
ню2-8-17,1195.18,1195.64,GA
ню2-8-17,1195.64,1204.92,SH
ню2-8-17,1204.92,1205.51,SS
ню2-8-17,1205.51,1206.23,SH
ню2-8-17,1206.23,1207.2,SS
ню2-8-17,1207.2,1211.48,SH
ню2-8-17,1211.54,1211.94,SS
ню2-8-17,1211.94,1212.26,SH
ню2-8-17,1212.26,1212.98,SS
ню2-8-17,1212.98,1214.25,SH
ню2-8-17,1214.25,1214.75,SS
ню2-8-17,1214.75,1218.9,SH
ню2-8-17,1218.9,1219.66,SS
ню2-8-17,1219.66,1220.54,SH
ню2-8-17,1220.54,1220.97,SS
ню2-8-17,1220.97,1222.65,SH
ню2-8-17,1222.65,1223.44,SS
ню2-8-17,1223.44,1223.89,SH
ню2-8-17,1223.89,1224.2,SA
ню2-8-17,1224.2,1225.48,SH
ню2-8-17,1225.48,1227.84,SA
ню2-8-17,1227.84,1228.36,SH
ню2-8-17,1228.36,1229.24,SA
ню2-8-17,1229.24,1234.32,SH
ню2-8-17,1234.32,1235.5,SA
ню2-8-17,1235.5,1236.48,SH
ню2-8-17,1236.48,1237.52,GA
ню2-8-17,1237.52,1257.85,SH
ню2-24-25,1194.82,1215.28,SH
ню2-24-25,1215.28,1216.32,SA
ню2-24-25,1216.32,1217.46,SS
ню2-24-25,1217.46,1218.12,SA
ню2-24-25,1218.12,1219.42,SH
ню2-24-25,1219.42,1221.4,SA
ню2-24-25,1221.4,1236.84,SH
ню2-24-25,1236.84,1237.78,SA
ню2-24-25,1237.78,1238.32,SS
ню2-24-25,1238.32,1239.48,SA
ню2-24-25,1239.48,1240.84,SH
ню2-24-25,1240.84,1242.04,SA
ню2-24-25,1242.04,1242.36,SS
ню2-24-25,1242.36,1243.32,SA
ню2-24-25,1243.32,1246.36,SH
ню2-24-25,1246.36,1246.98,SS
ню2-24-25,1246.98,1252,SH
ню2-24-25,1252,1252.64,SS
ню2-24-25,1252.64,1253.06,SH
ню2-24-25,1253.06,1253.78,SS
ню2-24-25,1253.78,1254.72,SH
ню2-24-25,1254.72,1257.96,SA
ню2-24-25,1257.96,1258.34,SS
ню2-24-25,1258.34,1258.86,SA
ню2-24-25,1258.86,1262.58,SH
ню2-24-25,1262.58,1263.94,SA
ню2-24-25,1263.94,1267.68,SH
ню2-24-25,1267.68,1268.76,SS
ню2-24-25,1268.76,1271,SH
ню2-24-25,1271,1271.46,GA
ню2-24-25,1271.46,1291.38,SH
ню2-26-27,1237.16,1255.52,SH
ню2-26-27,1255.52,1256.32,SS
ню2-26-27,1256.32,1256.92,SH
ню2-26-27,1256.92,1259.24,SS
ню2-26-27,1259.24,1260.84,SH
ню2-26-27,1260.84,1263.58,SS
ню2-26-27,1263.58,1266.62,SH
ню2-26-27,1266.62,1267.34,GA
ню2-26-27,1267.34,1273.68,SH
ню2-26-27,1273.68,1275.42,SS
ню2-26-27,1275.42,1276.52,SA
ню2-26-27,1276.52,1280.28,SH
ню2-26-27,1280.28,1281.64,SA
ню2-26-27,1281.64,1284,SH
ню2-26-27,1284,1284.66,GA
ню2-26-27,1284.72,1285.24,SH
ню2-26-27,1285.24,1285.8,SS
ню2-26-27,1285.8,1288.8,SH
ню2-26-27,1288.8,1289.6,SS
ню2-26-27,1289.6,1291.02,SH
ню2-26-27,1291.02,1291.66,SS
ню2-26-27,1291.66,1295.4,SH
ню2-26-27,1295.4,1300,SA
ню2-26-27,1300,1300.36,SH
ню2-26-27,1300.36,1300.93,SS
ню2-26-27,1300.93,1301.58,SH
ню2-26-27,1301.58,1302.45,SS
ню2-26-27,1302.45,1306.5,SH
ню2-26-27,1306.5,1307.46,SA
ню2-26-27,1307.46,1309.32,SH
ню2-26-27,1309.32,1309.98,SS
ню2-26-27,1309.98,1313.59,SH
ню2-26-27,1313.59,1314.4,SS
ню2-26-27,1314.4,1317.62,SH
ню2-26-27,1317.62,1318.04,GA
ню2-26-27,1318.04,1326.44,SH
ню2-26-27,1326.56,1326.96,GA
ню2-26-27,1327.08,1328.24,SH
ню2-26-27,1328.24,1328.76,GA
ню2-26-27,1328.76,1329.92,SH
ню2-27-27,1243.38,1263.28,SH
ню2-27-27,1263.28,1263.7,GA
ню2-27-27,1263.7,1265.4,SH
ню2-27-27,1265.4,1267.12,SS
ню2-27-27,1267.12,1269.6,SH
ню2-27-27,1269.6,1270.3,SS
ню2-27-27,1270.3,1270.64,GA
ню2-27-27,1270.64,1276.88,SH
ню2-27-27,1276.88,1278,SS
ню2-27-27,1278,1281.26,SH
ню2-27-27,1281.26,1282.88,SS
ню2-27-27,1282.88,1291.32,SH
ню2-27-27,1291.32,1293.04,SS
ню2-27-27,1293.04,1293.58,GA
ню2-27-27,1293.58,1297.4,SH
ню2-27-27,1297.4,1298.5,SS
ню2-27-27,1298.5,1300.72,SH
ню2-27-27,1300.72,1304.6,SA
ню2-27-27,1304.6,1305.08,GA
ню2-27-27,1305.12,1306.5,SH
ню2-27-27,1306.5,1307.21,SS
ню2-27-27,1307.21,1308.38,SH
ню2-27-27,1308.38,1310.54,SA
ню2-27-27,1310.54,1311.42,SH
